year	RF_N	RF_M	RF_SD	NDVI_N	NDVI_M	NDVI_SD	ESM_N	ESM_M	ESM_SD
1982	74499	2766.124484	1501.022085	74499	0.405893408	0.191660827	74292	3194.993756	3456.220546
1983	74745	2697.94344	1512.421025	74745	0.408314175	0.192867843	74539	3182.030529	3448.955248
1984	76069	2663.839528	1534.677293	76069	0.398264497	0.185315415	75862	3118.706418	3430.117425
1985	73650	2635.463114	1451.898705	73650	0.413699661	0.193835964	73443	3204.198769	3437.615671
1986	75304	2689.215167	1504.211099	75304	0.413963415	0.199606206	75097	3109.396338	3418.49634
1987	75445	2723.404505	1581.79611	75445	0.41386239	0.197424405	75238	3091.463096	3408.667864
1988	76202	2626.102147	1528.715488	76202	0.409342865	0.189782292	75994	3059.219498	3402.080776
1989	74009	2822.799634	1513.243518	74009	0.419226189	0.198382483	73801	3124.233978	3403.576357
1990	75287	2716.018905	1592.846003	75287	0.429188678	0.204244162	75079	3081.328609	3393.810589
1991	75312	2665.53086	1521.563988	75312	0.416645541	0.195073723	75105	3075.983668	3396.926684
1992	75145	2706.118407	1497.428288	75145	0.414760609	0.196599893	74938	3066.336001	3396.665327
1993	76434	2808.386537	1602.95937	76434	0.405345461	0.190706093	76227	3006.695188	3380.390083
1994	76911	2743.700026	1553.147783	76911	0.409793567	0.192434379	76704	3008.142917	3391.42696
1995	74623	2714.828984	1512.219457	74623	0.427992831	0.203703813	74416	3097.47433	3408.181679
1996	74810	2716.383291	1512.851361	74810	0.420093423	0.196054991	74604	3077.309231	3397.353622
1997	75476	2844.964242	1539.548211	75476	0.421483518	0.201266116	75269	3043.110521	3395.030516
1998	75374	2718.555028	1547.949678	75374	0.428162496	0.200567371	75167	3059.171701	3396.139363
1999	76068	2774.297384	1618.779177	76068	0.417310683	0.195414643	75861	3027.695396	3390.708737
2000	76521	2687.253176	1569.713359	76521	0.407970897	0.19298472	76312	3015.800291	3397.767695
2001	76058	2720.737571	1546.125324	76058	0.415423177	0.198428977	75850	3027.904823	3407.228736
2002	75287	2829.831133	1538.824031	75287	0.423871864	0.200492965	75077	3051.849322	3409.74006
2003	75003	2676.971892	1512.498038	75003	0.41574201	0.196655995	74795	3070.918058	3406.161966
2004	75658	2735.300024	1546.932716	75658	0.420911378	0.202608848	75449	3034.670311	3387.831561
2005	74733	2768.754156	1558.733015	74733	0.416657046	0.193241991	74524	3063.171501	3393.465165
2006	75329	2696.312182	1555.966352	75329	0.422674083	0.202610827	75121	3039.255887	3392.381063
2007	75796	2760.749847	1590.911626	75796	0.423863291	0.204311439	75589	3011.064234	3381.78234
2008	75751	2779.066912	1617.935291	75751	0.42574498	0.205162518	75544	3015.458846	3369.654153
2009	75714	2529.437801	1436.983247	75714	0.425606083	0.206303247	75507	3023.873681	3371.488689
2010	76194	2735.12884	1585.666484	76194	0.423319159	0.204002128	76032	2794.150471	3176.33758
