year RF_N  RF_M  RF_SD ND_N  ND_M  ND_SD  ESM_N  ESM_M  ESM_SD
1982.000 16844.000 2120.782 1445.208 16844.000    0.322    0.160 16844.000 1268.893 1514.832
1983.000 16844.000 2034.855 1394.134 16844.000    0.328    0.161 16844.000 1274.620 1511.165
1984.000 16844.000 2042.219 1378.471 16844.000    0.325    0.154 16844.000 1272.090 1503.022
1985.000 16844.000 1945.073 1342.063 16844.000    0.327    0.163 16844.000 1259.937 1497.631
1986.000 16844.000 2082.281 1421.022 16844.000    0.333    0.165 16844.000 1231.258 1485.697
1987.000 16844.000 2020.948 1425.530 16844.000    0.338    0.168 16844.000 1230.067 1478.954
1988.000 16844.000 1981.062 1365.693 16844.000    0.336    0.159 16844.000 1223.237 1476.100
1989.000 16844.000 2122.298 1413.166 16844.000    0.335    0.168 16844.000 1203.075 1468.021
1990.000 16844.000 2042.861 1425.064 16844.000    0.353    0.176 16844.000 1215.755 1466.695
1991.000 16844.000 1951.794 1329.889 16844.000    0.342    0.168 16844.000 1213.489 1472.855
1992.000 16844.000 2028.651 1353.212 16844.000    0.341    0.171 16844.000 1186.082 1467.939
1993.000 16844.000 2175.488 1467.363 16844.000    0.335    0.160 16844.000 1186.446 1458.698
1994.000 16844.000 2130.517 1402.974 16844.000    0.341    0.164 16844.000 1199.806 1467.217
1995.000 16844.000 2024.052 1345.183 16844.000    0.351    0.180 16844.000 1200.479 1470.720
1996.000 16844.000 2000.770 1347.070 16844.000    0.341    0.167 16844.000 1191.241 1459.152
1997.000 16844.000 2166.442 1394.450 16844.000    0.346    0.172 16844.000 1174.457 1456.694
1998.000 16844.000 2035.926 1369.517 16844.000    0.351    0.173 16844.000 1187.746 1451.432
1999.000 16844.000 2137.806 1435.292 16844.000    0.345    0.168 16844.000 1182.032 1449.412
2000.000 16844.000 2026.165 1347.718 16844.000    0.337    0.163 16844.000 1179.673 1452.436
2001.000 16844.000 2067.225 1374.262 16844.000    0.341    0.167 16844.000 1163.379 1447.475
2002.000 16844.000 2196.785 1420.112 16844.000    0.343    0.169 16844.000 1162.660 1442.134
2003.000 16844.000 2027.880 1372.832 16844.000    0.335    0.165 16844.000 1177.962 1437.828
2004.000 16844.000 2068.680 1377.954 16844.000    0.347    0.175 16844.000 1173.068 1430.495
2005.000 16844.000 2069.576 1403.985 16844.000    0.344    0.172 16844.000 1168.118 1431.232
2006.000 16844.000 2008.103 1352.898 16844.000    0.347    0.174 16844.000 1164.335 1434.539
2007.000 16844.000 2158.807 1436.425 16844.000    0.352    0.178 16844.000 1155.056 1425.869
2008.000 16844.000 2155.183 1462.548 16844.000    0.357    0.183 16844.000 1167.350 1422.333
2009.000 16844.000 1973.067 1314.920 16844.000    0.350    0.175 16844.000 1174.962 1426.051
2010.000 16844.000 2112.688 1395.445 16844.000    0.350    0.174 16844.000 1072.103 1299.768
