year RF_N  RF_M  RF_SD ND_N  ND_M  ND_SD  ESM_N  ESM_M  ESM_SD
1982.000 24816.000 3771.147 1249.578 24816.000    0.554    0.165 24816.000 6267.311 3438.552
1983.000 24816.000 3698.786 1295.566 24816.000    0.557    0.165 24816.000 6258.571 3432.736
1984.000 24816.000 3705.652 1296.677 24816.000    0.542    0.160 24816.000 6236.478 3423.615
1985.000 24816.000 3578.218 1254.309 24816.000    0.560    0.169 24816.000 6218.889 3425.007
1986.000 24816.000 3685.413 1230.024 24816.000    0.570    0.171 24816.000 6182.396 3420.213
1987.000 24816.000 3824.029 1328.867 24816.000    0.566    0.169 24816.000 6159.584 3415.186
1988.000 24816.000 3654.018 1304.169 24816.000    0.557    0.164 24816.000 6154.917 3415.827
1989.000 24816.000 3840.712 1348.278 24816.000    0.569    0.172 24816.000 6124.257 3409.051
1990.000 24816.000 3802.007 1406.192 24816.000    0.585    0.173 24816.000 6128.583 3407.106
1991.000 24816.000 3720.879 1422.836 24816.000    0.565    0.167 24816.000 6125.852 3414.019
1992.000 24816.000 3709.041 1386.508 24816.000    0.564    0.168 24816.000 6109.375 3414.956
1993.000 24816.000 3952.653 1342.258 24816.000    0.554    0.164 24816.000 6089.227 3414.219
1994.000 24816.000 3848.367 1346.720 24816.000    0.561    0.163 24816.000 6123.273 3424.338
1995.000 24816.000 3695.944 1415.719 24816.000    0.580    0.173 24816.000 6126.813 3427.238
1996.000 24816.000 3755.449 1326.766 24816.000    0.570    0.168 24816.000 6104.931 3423.401
1997.000 24816.000 3921.952 1341.174 24816.000    0.577    0.169 24816.000 6098.617 3428.299
1998.000 24816.000 3791.953 1340.642 24816.000    0.581    0.170 24816.000 6110.592 3432.166
1999.000 24816.000 3931.621 1375.490 24816.000    0.569    0.165 24816.000 6103.013 3434.411
2000.000 24816.000 3809.308 1359.812 24816.000    0.560    0.164 24816.000 6116.611 3442.753
2001.000 24816.000 3783.686 1361.539 24816.000    0.571    0.167 24816.000 6117.099 3453.379
2002.000 24816.000 3866.132 1346.921 24816.000    0.579    0.171 24816.000 6108.138 3456.662
2003.000 24816.000 3656.139 1333.987 24816.000    0.567    0.171 24816.000 6111.606 3453.599
2004.000 24816.000 3809.128 1344.123 24816.000    0.576    0.172 24816.000 6086.813 3438.649
2005.000 24816.000 3841.767 1362.621 24816.000    0.561    0.163 24816.000 6080.244 3437.027
2006.000 24816.000 3745.305 1387.228 24816.000    0.578    0.171 24816.000 6081.521 3439.019
2007.000 24816.000 3808.007 1415.168 24816.000    0.580    0.171 24816.000 6065.697 3430.985
2008.000 24816.000 3883.816 1411.771 24816.000    0.581    0.171 24816.000 6056.475 3417.403
2009.000 24816.000 3446.486 1308.367 24816.000    0.585    0.175 24816.000 6064.736 3413.397
2010.000 24816.000 3843.318 1416.330 24816.000    0.581    0.171 24816.000 5694.879 3243.702
