year RF_N  RF_M  RF_SD ND_N  ND_M  ND_SD  ESM_N  ESM_M  ESM_SD
1982.000 30426.000 1588.004 1362.814 30426.000    0.244    0.161 30426.000 1030.481 1830.244
1983.000 30426.000 1564.112 1359.399 30426.000    0.246    0.163 30426.000 1029.394 1827.267
1984.000 30426.000 1578.210 1364.900 30426.000    0.250    0.156 30426.000 1030.725 1818.054
1985.000 30426.000 1492.310 1334.967 30426.000    0.244    0.164 30426.000 1017.689 1813.506
1986.000 30426.000 1570.161 1373.529 30426.000    0.250    0.165 30426.000 1010.285 1798.597
1987.000 30426.000 1585.765 1388.421 30426.000    0.251    0.165 30426.000 1003.451 1793.045
1988.000 30426.000 1583.570 1385.425 30426.000    0.257    0.161 30426.000 1006.830 1786.842
1989.000 30426.000 1607.804 1364.959 30426.000    0.248    0.167 30426.000  990.956 1778.730
1990.000 30426.000 1559.072 1377.101 30426.000    0.259    0.171 30426.000 1000.677 1778.144
1991.000 30426.000 1559.983 1298.125 30426.000    0.254    0.165 30426.000  995.743 1775.139
1992.000 30426.000 1601.820 1319.349 30426.000    0.251    0.164 30426.000  988.901 1769.544
1993.000 30426.000 1648.504 1387.378 30426.000    0.253    0.159 30426.000  988.609 1760.100
1994.000 30426.000 1643.276 1345.026 30426.000    0.259    0.161 30426.000  997.024 1768.009
1995.000 30426.000 1592.583 1358.030 30426.000    0.254    0.171 30426.000  988.577 1772.484
1996.000 30426.000 1570.293 1353.794 30426.000    0.254    0.166 30426.000  985.491 1762.479
1997.000 30426.000 1670.578 1371.251 30426.000    0.254    0.168 30426.000  983.965 1757.125
1998.000 30426.000 1570.584 1362.240 30426.000    0.262    0.171 30426.000  991.664 1757.393
1999.000 30426.000 1593.062 1393.457 30426.000    0.259    0.165 30426.000  992.739 1753.662
2000.000 30426.000 1590.221 1351.881 30426.000    0.255    0.161 30426.000  994.081 1758.528
2001.000 30426.000 1622.403 1358.793 30426.000    0.255    0.165 30426.000  989.561 1757.040
2002.000 30426.000 1657.635 1385.491 30426.000    0.258    0.169 30426.000  983.086 1754.523
2003.000 30426.000 1567.826 1368.611 30426.000    0.252    0.165 30426.000  989.577 1753.281
2004.000 30426.000 1597.683 1363.758 30426.000    0.256    0.169 30426.000  989.704 1745.412
2005.000 30426.000 1573.904 1363.472 30426.000    0.252    0.166 30426.000  979.279 1747.925
2006.000 30426.000 1578.485 1380.096 30426.000    0.255    0.169 30426.000  980.502 1748.466
2007.000 30426.000 1618.694 1404.301 30426.000    0.257    0.170 30426.000  977.072 1741.647
2008.000 30426.000 1600.320 1405.689 30426.000    0.258    0.170 30426.000  983.313 1737.807
2009.000 30426.000 1512.083 1272.947 30426.000    0.257    0.171 30426.000  985.893 1743.559
2010.000 30426.000 1593.773 1358.359 30426.000    0.260    0.171 30426.000  892.931 1599.830
