year RF_N  RF_M  RF_SD ND_N  ND_M  ND_SD  ESM_N  ESM_M  ESM_SD
1982.000 7169.000 2851.211 1606.597 7169.000    0.427    0.200 7169.000 3459.576 3159.004
1983.000 7169.000 2803.205 1636.236 7169.000    0.432    0.202 7169.000 3454.326 3156.132
1984.000 7169.000 2796.688 1648.204 7169.000    0.426    0.193 7169.000 3442.159 3143.917
1985.000 7169.000 2709.117 1560.759 7169.000    0.433    0.206 7169.000 3420.322 3142.571
1986.000 7169.000 2801.320 1606.555 7169.000    0.442    0.207 7169.000 3390.736 3126.202
1987.000 7169.000 2841.859 1661.353 7169.000    0.440    0.205 7169.000 3376.760 3117.863
1988.000 7169.000 2764.033 1577.525 7169.000    0.438    0.198 7169.000 3373.030 3114.888
1989.000 7169.000 2872.129 1589.457 7169.000    0.440    0.209 7169.000 3339.273 3111.045
1990.000 7169.000 2829.055 1626.650 7169.000    0.456    0.212 7169.000 3350.210 3102.234
1991.000 7169.000 2780.303 1555.792 7169.000    0.441    0.203 7169.000 3339.150 3103.892
1992.000 7169.000 2804.561 1552.630 7169.000    0.439    0.205 7169.000 3327.491 3100.943
1993.000 7169.000 2949.685 1664.295 7169.000    0.432    0.197 7169.000 3309.655 3092.413
1994.000 7169.000 2913.912 1572.927 7169.000    0.440    0.198 7169.000 3331.037 3105.305
1995.000 7169.000 2798.836 1557.168 7169.000    0.453    0.213 7169.000 3329.774 3111.843
1996.000 7169.000 2842.577 1570.154 7169.000    0.443    0.206 7169.000 3313.563 3102.550
1997.000 7169.000 2977.012 1619.573 7169.000    0.449    0.209 7169.000 3307.765 3101.189
1998.000 7169.000 2855.766 1621.532 7169.000    0.456    0.210 7169.000 3320.338 3102.767
1999.000 7169.000 2901.062 1670.471 7169.000    0.445    0.202 7169.000 3315.525 3099.847
2000.000 7169.000 2836.304 1645.267 7169.000    0.438    0.198 7169.000 3331.685 3113.341
2001.000 7169.000 2851.021 1624.502 7169.000    0.445    0.205 7169.000 3325.963 3125.322
2002.000 7169.000 2933.703 1628.100 7169.000    0.452    0.211 7169.000 3316.481 3121.479
2003.000 7169.000 2794.701 1602.910 7169.000    0.442    0.207 7169.000 3316.739 3118.930
2004.000 7169.000 2884.789 1594.186 7169.000    0.451    0.211 7169.000 3309.806 3108.081
2005.000 7169.000 2880.403 1648.755 7169.000    0.440    0.202 7169.000 3300.940 3106.882
2006.000 7169.000 2831.865 1625.519 7169.000    0.452    0.211 7169.000 3301.983 3106.144
2007.000 7169.000 2886.988 1655.807 7169.000    0.454    0.211 7169.000 3292.818 3100.936
2008.000 7169.000 2914.081 1663.538 7169.000    0.454    0.213 7169.000 3294.705 3090.630
2009.000 7169.000 2622.405 1528.090 7169.000    0.458    0.213 7169.000 3307.670 3098.970
2010.000 7169.000 2883.733 1609.188 7169.000    0.454    0.212 7169.000 3067.812 2909.189
