year RF_NDVI  ESM_NDVI  N  RFP  ESMP
1982.000    0.835    0.823 95233.000    0.000    0.000
1983.000    0.811    0.819 95267.000    0.000    0.000
1984.000    0.804    0.813 95296.000    0.000    0.000
1985.000    0.808    0.819 95239.000    0.000    0.000
1986.000    0.816    0.815 95275.000    0.000    0.000
1987.000    0.811    0.807 95269.000    0.000    0.000
1988.000    0.791    0.800 95297.000    0.000    0.000
1989.000    0.832    0.811 95239.000    0.000    0.000
1990.000    0.817    0.799 95306.000    0.000    0.000
1991.000    0.815    0.799 95270.000    0.000    0.000
1992.000    0.805    0.798 95269.000    0.000    0.000
1993.000    0.837    0.801 95305.000    0.000    0.000
1994.000    0.831    0.795 95330.000    0.000    0.000
1995.000    0.793    0.794 95269.000    0.000    0.000
1996.000    0.822    0.802 95272.000    0.000    0.000
1997.000    0.831    0.796 95309.000    0.000    0.000
1998.000    0.815    0.791 95288.000    0.000    0.000
1999.000    0.841    0.792 95323.000    0.000    0.000
2000.000    0.820    0.799 95329.000    0.000    0.000
2001.000    0.813    0.799 95325.000    0.000    0.000
2002.000    0.826    0.795 95286.000    0.000    0.000
2003.000    0.789    0.797 95259.000    0.000    0.000
2004.000    0.808    0.787 95293.000    0.000    0.000
2005.000    0.821    0.785 95275.000    0.000    0.000
2006.000    0.801    0.791 95339.000    0.000    0.000
2007.000    0.804    0.787 95329.000    0.000    0.000
2008.000    0.814    0.785 95322.000    0.000    0.000
2009.000    0.780    0.791 95322.000    0.000    0.000
2010.000    0.812    0.788 95316.000    0.000    0.000
